Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,mean_amo
2004,0.196,0.195,0.144,0.094,-0.009,0.163,0.213,0.302,0.226,0.228,0.207,0.173,0.17766666666666667
2005,0.096,0.111,0.27,0.278,0.279,0.313,0.432,0.426,0.404,0.223,0.126,0.202,0.26333333333333336
2006,0.109,0.06,0.046,0.183,0.294,0.319,0.36,0.386,0.349,0.32,0.274,0.157,0.23808333333333334
2007,0.157,0.203,0.113,0.144,0.097,0.074,0.114,0.04,0.084,0.143,0.162,0.096,0.11891666666666667
2008,0.016,0.114,0.144,0.028,0.158,0.241,0.191,0.16,0.184,0.088,-0.014,0.004,0.1095
2009,-0.074,-0.179,-0.175,-0.145,-0.076,0.107,0.213,0.138,0.042,0.149,0.054,0.068,0.01016666666666667
2010,0.025,0.162,0.272,0.411,0.445,0.433,0.435,0.51,0.434,0.309,0.221,0.193,0.32083333333333336
2011,0.129,0.093,0.04,0.077,0.137,0.163,0.076,0.132,0.129,0.047,-0.086,-0.06,0.07308333333333333
2012,-0.08,-0.011,0.01,0.065,0.149,0.285,0.36,0.416,0.433,0.314,0.149,0.126,0.18466666666666667
2013,0.113,0.1,0.143,0.121,0.085,0.031,0.175,0.179,0.239,0.331,0.113,0.021,0.13758333333333334
2014,-0.078,-0.058,-0.097,-0.11,-0.017,0.046,0.206,0.319,0.294,0.276,0.049,0.043,0.07275
2015,-0.024,-0.02,-0.145,-0.088,0.029,0.013,0.116,0.162,0.284,0.308,0.17,0.213,0.08483333333333333
2016,0.215,0.139,0.172,0.161,0.328,0.393,0.416,0.44,0.441,0.364,0.374,0.319,0.3135
2017,0.209,0.211,0.151,0.266,0.298,0.292,0.286,0.293,0.334,0.417,0.335,0.348,0.2866666666666667
2018,0.156,0.046,0.115,0.047,-0.017,-0.028,0.001,0.096,0.145,0.127,-0.137,-0.076,0.03958333333333333
2019,-0.031,0.064,0.105,0.107,0.071,0.157,0.336,0.321,0.229,0.142,0.093,0.148,0.14516666666666667
2020,0.079,0.34,0.352,0.353,0.25,0.256,0.347,0.432,0.303,0.295,0.119,0.169,0.27458333333333335
2021,0.133,0.145,0.119,0.06,0.078,0.145,0.216,0.251,0.408,0.481,0.452,0.259,0.22891666666666666
